donor_group,recipient_group,compatible,rule_type,source_note
A-,B+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,B-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,AB-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,O+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
A-,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,A+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,A-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,B+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,B-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,AB-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,O+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B+,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,A+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,A-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,B+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,B-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,AB-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,O+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
B-,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,A+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,A-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,B+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,B-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,AB-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,O+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB+,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,A+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,A-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,B+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,B-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,AB-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,O+,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
AB-,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,A+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,A-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,B+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,B-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,AB-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,O+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O+,O-,No,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,A+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,A-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,B+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,B-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,AB+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,AB-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,O+,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
O-,O-,Yes,Whole blood / packed RBC transfusion,Standard ABO/Rh(D) RBC compatibility (Landsteiner's law + Rh rule). Does NOT cover plasma or platelet compatibility (plasma follows reverse-ABO logic). Requires sign-off by a licensed blood bank professional before clinical use.
